battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,
842,0,2.2,0,1,0,7168 MB,0.6,188,2,2,20,756,2549MB,9,7,19,0,0,1,"$42,000 MXN",
1021,1,0.5,1,0,1,53 GB,0.7,136,3,6,905,1988,2631MB,17,3,7,1,1,no,"$49,089 ",
563,1,0.5,1,2,1,41984 MB,0.9,145,5,6,1263,1716,2603MB,11,2,9,1,1,0,"USD 16,049",
615,1,2.5,0,0,0,10 GB,0.8,131,6,9,1216,1786,2769MB,16,8,11,1,0,0,"45,000 pesos",
1821,1,1.2,0,13,1,44GB,0.6,141,2,14,1208,1212,1411MB,8,2,15,1,1,0,"$29,000 MXN",
1859,0,0.5,1,3,0,22GB,0.7,164,1,7,1004,1654,1067MB,17,1,10,1,0,no,"$7,049 ",
1821,0,1.7,0,4,1,10240 MB,0.8,139,8,10,381,1018,3220MB,13,8,18,1,0,1,"$34,000 ",
1954,0,0.5,1,0,0,24 MB,0.8,187,4,0,512,1149,700MB,16,3,5,1,1,yes,"$14,099 ",
1445,1,0.5,0,0,0,53 GB,0.7,174,7,14,386,836,1099MB,17,1,20,1,0,No,"$30,089 MXN",
509,1,0.6,1,2,1,9216 MB,0.1,93,5,15,1137,1224,513MB,19,10,12,1,0,no,50000 MXN,
769,1,2.9,1,0,0,9000 MB,0.1,182,5,1,248,874,3946MB,5,2,7,0,0,0,"$23,089 ",
1520,1,2.2,0,5,1,33000 MB,0.5,177,8,18,151,1005,3826MB,14,9,13,1,1,1,"USD 15,089",
1815,0,2.8,0,2,0,33GB,0.6,159,4,17,607,748,1482MB,18,0,2,1,0,0,"USD 7,099",
803,1,2.1,0,7,0,17408 MB,1,198,4,11,344,1440,2680MB,7,1,4,1,0,1,"24,089 pesos",
1866,0,0.5,0,13,1,53248 MB,0.7,185,1,17,356,563,373MB,14,9,3,1,0,1,EUR 18000,
775,0,1,0,3,0,46GB,0.7,159,2,16,862,1864,568MB,17,15,11,1,1,yes,36000 MXN,
838,0,0.5,0,1,1,13000MB,0.1,196,8,4,984,1850,3554MB,10,9,19,1,0,Yes,"7,089 pesos",
595,0,0.9,1,7,1,23552 MB,0.1,121,3,17,441,810,3752MB,10,2,18,1,1,0,"USD 25,049",
1131,1,0.5,1,11,0,49GB,0.6,101,5,18,658,878,1835MB,19,13,16,1,1,0,"4,049 MXN",
682,1,0.5,0,4,0,19GB,1,121,4,11,902,1064,2337MB,11,1,18,0,1,yes,"USD 7,049",
772,0,1.1,1,12,0,39 MB,0.8,81,7,14,1314,1854,2819MB,17,15,3,1,1,no,EUR 26090,
1709,1,2.1,0,1,0,13312 MB,1,156,2,2,974,1385,3283MB,17,1,15,1,0,no,"$42,089 ",
1949,0,2.6,1,4,0,48128 MB,0.3,199,4,7,407,822,1433MB,11,5,20,0,0,yes,"$25,089 ",
1602,1,2.8,1,4,1,38 GB,0.7,114,3,20,466,788,1037MB,8,7,20,1,0,no,"USD 44,089",
503,0,1.2,1,5,1,8000 MB,0.4,111,3,13,201,1245,2583MB,11,0,12,1,0,No,"$40,000 ",
961,1,1.4,1,0,1,57 GB,0.6,114,8,3,291,1434,2782MB,18,9,7,1,1,1,"$48,049 ",
519,1,1.6,1,7,1,52224 MB,0.3,132,4,19,550,645,3763MB,16,1,4,1,0,yes,"31,099 MXN",
956,0,0.5,0,1,1,41000 MB,1,143,7,6,511,1075,3286MB,17,8,12,1,1,no,42000 USD,
1453,0,1.6,1,12,1,53248 MB,0.3,96,2,18,187,1311,2373MB,10,1,10,1,1,1,"$5,049 MXN",
851,0,0.5,0,3,0,21 GB,0.4,200,5,7,1171,1263,478MB,12,7,10,1,0,yes,"22,099 MXN",
1579,1,0.5,1,0,0,5GB,0.2,88,7,9,1358,1739,3532MB,17,11,12,0,0,Yes,"6,049 pesos",
1568,1,0.5,0,16,0,33 GB,1,150,8,20,413,654,508MB,5,1,6,1,1,Yes,"$47,089 ",
1319,1,0.9,0,3,1,41 MB,0.9,107,1,18,85,1152,2227MB,18,5,3,1,1,1,43100 MXN,
